Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
222,1.081026808,-0.13945451,0.483881152,0.642056748,-0.186845482,0.538283349,-0.302749466,0.315920498,0.277327557,-0.102328981,1.396865139,1.050423758,-0.703592689,0.295139625,-0.344873194,-0.651014515,0.376377131,-1.056711907,-0.21632355,-0.187038936,-0.124039027,-0.190064258,0.05789595,-0.269353556,0.253835253,0.311885576,0.001591344,-0.003467797,17.24,0
260,1.075229011,-0.335339468,1.680467942,1.192098388,-1.270530762,0.313498288,-0.871024862,0.235401729,1.315260839,-0.478206972,-0.370612661,1.506748861,0.848506498,-1.067779363,-1.105966076,-0.941599861,0.710495612,-1.057347979,-0.295389514,-0.113252987,0.092929517,0.815226885,-0.05455139,0.731148708,0.431464973,0.580189202,0.062528164,0.025628072,5.46,0
509,-0.404840789,1.005371767,1.372756249,0.005994279,-0.118848739,-0.788473319,0.566918134,0.114720596,-0.52198708,-0.318949025,1.501466252,0.151464413,-0.986278269,-0.024208169,0.28669712,0.566864533,-0.112456891,0.41295945,0.127054849,0.06524033,-0.207334253,-0.619986971,0.02084763,0.456775451,-0.249289192,0.044936814,0.23403615,0.088355574,8.28,0
352,-0.703183201,1.210704416,0.713730882,1.146380787,0.196790068,0.468059751,0.204977374,0.627388835,-0.296261347,-0.309000902,-1.645999365,-0.351982851,-0.683077622,0.429833357,0.320010811,-0.819032099,0.536239037,-0.27700935,1.038315088,0.015528735,-0.052939376,0.044338996,-0.184853448,-0.77643909,0.021547683,-0.166426753,0.29789193,0.128380902,13.99,0
284,-0.942623063,0.657317958,1.191544384,1.326497095,0.97674498,-0.832970032,0.238932868,0.163401503,-0.584980704,-0.789639334,-0.144501037,-1.445161039,-2.115885112,-0.617131929,1.966837316,-0.203704314,1.500691702,0.586786087,0.27146639,0.115262873,0.062165439,-0.016076486,-0.236314329,-0.08280197,0.357494184,-0.110529973,0.080795718,0.113264048,1.0,0
155,1.171953522,0.311213252,0.313605078,0.51923042,-0.058032111,-0.258768685,-0.043842811,0.039598889,-0.344226883,-0.179727145,1.979015769,1.406746264,0.871995167,-0.212157236,0.563275934,0.348119863,-0.021623118,-0.343891188,-0.271035656,-0.054283414,-0.200153106,-0.541916273,0.137491127,-0.001739462,0.139121263,0.104375917,-0.005414212,0.018728013,1.29,0
194,-1.131517179,1.016398669,0.735810425,1.166613773,0.7902364,-1.187196151,0.736468997,-0.327991907,-0.555549247,-0.454532753,0.023276926,-0.186312977,0.395096171,-1.308900823,1.220467459,0.116426363,0.862879581,0.649778331,0.317546511,-0.265970993,0.00961259,0.315738653,0.054209943,0.294232444,0.003876835,-0.31415862,-0.099512267,0.122697402,1.0,0
12,-0.752417043,0.345485415,2.057322913,-1.468643298,-1.15839368,-0.077849829,-0.608581418,0.003603484,-0.436166984,0.747730827,-0.793980603,-0.770406729,1.047626997,-1.066603681,1.106953457,1.660113557,-0.279265373,-0.419994141,0.432535349,0.263450864,0.499624955,1.353650486,-0.25657328,-0.065083708,-0.039124354,-0.087086473,-0.1809975,0.129394059,15.99,0
135,-0.54188941,0.907744834,0.941841931,0.993747888,0.844723948,0.360279963,0.761736832,-0.222477053,0.179747696,0.408008155,-2.061908155,-0.71990403,-0.367007292,-0.28650681,0.180705099,-0.593469378,-0.25066099,0.230033158,1.633690689,0.146139609,-0.203112395,-0.122943687,-0.438461573,-0.996350433,0.09379569,-0.216345753,0.015375399,-0.03849078,23.57,0
26,-0.529912284,0.873891581,1.347247329,0.145456677,0.414208858,0.100223094,0.711206083,0.176065957,-0.286716935,-0.484687683,0.87248959,0.85163586,-0.571745303,0.100974273,-1.519771833,-0.284375978,-0.310523585,-0.404247869,-0.823373524,-0.290347611,0.046949067,0.208104855,-0.185548347,0.00103066,0.098815701,-0.552903603,-0.073288084,0.023307045,6.14,0
499,1.355790191,-1.122921338,1.191186519,-0.576548234,-1.708749932,0.274721304,-1.640785055,0.295838482,0.618648905,0.47594339,-1.772231504,-1.55824688,-1.276128009,-0.750821284,0.394212595,1.563192752,0.139540721,-0.36804374,0.765654082,0.020548005,0.302035473,0.920012982,-0.210219139,-0.435499298,0.450803218,0.068454323,0.062214372,0.022190577,22.83,0
504,-1.031079262,0.626546716,2.622436217,1.411312161,-0.296552602,1.122951676,0.286099517,0.088801503,1.103565255,0.702030395,0.76659513,0.636497098,-1.451662242,-0.959335402,-1.847115928,-1.659907826,0.807223254,-0.596915387,1.512495445,0.244650734,-0.446252786,-0.374942125,-0.075502646,0.207436777,-0.151028086,-0.471123967,-0.039908565,-0.191512529,24.9,0
221,-1.177731398,0.318500556,1.727122639,-0.549578484,0.737291973,-0.050963245,0.555481889,-0.041756012,0.219520198,-0.262389264,-0.143989694,-0.576367218,-2.128980314,0.045078555,-1.132141519,0.311233375,-0.739914396,0.326510618,0.377478044,-0.321357317,-0.279323708,-0.640571457,-0.554583863,-0.510508094,0.403269619,0.178327047,-0.354579192,-0.233332153,25.36,0
246,1.311258486,0.07502777,-1.292832404,-0.483154333,2.139256911,3.181563924,-0.505045118,0.804860255,-0.074070833,-0.217425556,0.131576213,-0.028146149,0.01145979,-0.112921114,1.300007138,0.812807415,-0.495483473,0.166473112,0.175176224,0.032734124,-0.342676245,-1.148503557,0.095278816,0.946121234,0.369712917,0.110625671,-0.021836606,0.023638378,1.98,0
